firm,quarter_end,quarter,year,report_date,actual_eps,sic_code,source_ticker
CME-US,2025-06-30,2025Q2,2025,20250723,2.8089,6200,CME-US
CME-US,2025-03-31,2025Q1,2025,20250423,2.6211,6200,CME-US
CME-US,2024-12-31,2024Q4,2024,20250212,2.3988,6200,CME-US
CME-US,2024-09-30,2024Q3,2024,20241023,2.5037,6200,CME-US
CME-US,2024-06-28,2024Q2,2024,20240724,2.4234,6200,CME-US
CME-US,2024-03-29,2024Q1,2024,20240424,2.3466,6200,CME-US
CME-US,2023-12-29,2023Q4,2023,20240214,2.2361,6200,CME-US
CME-US,2023-09-29,2023Q3,2023,20231025,2.06,6200,CME-US
CME-US,2023-06-30,2023Q2,2023,20230726,2.1362,6200,CME-US
CMG-US,2026-03-31,2026Q1,2026,20260429,0.2326,5812,CMG-US
CMG-US,2025-12-31,2025Q4,2025,20260203,0.2507,5812,CMG-US
CMG-US,2025-09-30,2025Q3,2025,20251029,0.2852,5812,CMG-US
CMG-US,2025-06-30,2025Q2,2025,20250723,0.323,5812,CMG-US
CMG-US,2025-03-31,2025Q1,2025,20250423,0.2841,5812,CMG-US
CMG-US,2024-12-31,2024Q4,2024,20250204,0.2424,5812,CMG-US
CMG-US,2024-09-30,2024Q3,2024,20241029,0.2818,5812,CMG-US
CMG-US,2024-06-28,2024Q2,2024,20240724,0.3298,5812,CMG-US
CMG-US,2024-03-29,2024Q1,2024,20240424,0.2601,5812,CMG-US
CMG-US,2023-12-29,2023Q4,2023,20240206,0.2043,5812,CMG-US
CMG-US,2023-09-29,2023Q3,2023,20231026,0.2263,5812,CMG-US
CMG-US,2023-06-30,2023Q2,2023,20230726,0.2464,5812,CMG-US
FCX-US,2026-03-31,2026Q1,2026,20260423,0.6053,1000,FCX-US
FCX-US,2025-12-31,2025Q4,2025,20260122,0.2814,1000,FCX-US
FCX-US,2025-09-30,2025Q3,2025,20251023,0.4622,1000,FCX-US
FCX-US,2025-06-30,2025Q2,2025,20250723,0.5308,1000,FCX-US
FCX-US,2025-03-31,2025Q1,2025,20250424,0.2396,1000,FCX-US
FCX-US,2024-12-31,2024Q4,2024,20250123,0.1896,1000,FCX-US
FCX-US,2024-09-30,2024Q3,2024,20241022,0.3601,1000,FCX-US
FCX-US,2024-06-28,2024Q2,2024,20240723,0.4222,1000,FCX-US
FCX-US,2024-03-29,2024Q1,2024,20240423,0.3241,1000,FCX-US
FCX-US,2023-12-29,2023Q4,2023,20240124,0.268,1000,FCX-US
FCX-US,2023-09-29,2023Q3,2023,20231019,0.3112,1000,FCX-US
FCX-US,2023-06-30,2023Q2,2023,20230720,0.2344,1000,FCX-US
LH-US,2026-03-31,2026Q1,2026,20260430,3.351,8071,LH-US
LH-US,2025-12-31,2025Q4,2025,20260217,1.9796,8071,LH-US
LH-US,2025-09-30,2025Q3,2025,20251028,3.1195,8071,LH-US
LH-US,2025-06-30,2025Q2,2025,20250724,2.8355,8071,LH-US
LH-US,2025-03-31,2025Q1,2025,20250429,2.5243,8071,LH-US
LH-US,2024-12-31,2024Q4,2024,20250206,1.7031,8071,LH-US
LH-US,2024-09-30,2024Q3,2024,20241024,2.0059,8071,LH-US
LH-US,2024-06-28,2024Q2,2024,20240801,2.4354,8071,LH-US
LH-US,2024-03-29,2024Q1,2024,20240425,2.6918,8071,LH-US
LH-US,2023-12-29,2023Q4,2023,20240215,-1.9682,8071,LH-US
LH-US,2023-09-29,2023Q3,2023,20231026,2.1069,8071,LH-US
LH-US,2023-06-30,2023Q2,2023,20230727,2.1225,8071,LH-US
LLY-US,2026-03-31,2026Q1,2026,20260430,8.2554,2834,LLY-US
LLY-US,2025-12-31,2025Q4,2025,20260204,7.0237,2834,LLY-US
LLY-US,2025-09-30,2025Q3,2025,20251030,6.2111,2834,LLY-US
LLY-US,2025-06-30,2025Q2,2025,20250807,6.2914,2834,LLY-US
LLY-US,2025-03-31,2025Q1,2025,20250501,3.0638,2834,LLY-US
LLY-US,2024-12-31,2024Q4,2024,20250206,4.654,2834,LLY-US
LLY-US,2024-09-30,2024Q3,2024,20241030,1.0722,2834,LLY-US
LLY-US,2024-06-28,2024Q2,2024,20240808,3.2814,2834,LLY-US
LLY-US,2024-03-29,2024Q1,2024,20240430,2.4816,2834,LLY-US
LLY-US,2023-12-29,2023Q4,2023,20240206,2.3064,2834,LLY-US
LLY-US,2023-09-29,2023Q3,2023,20231102,-0.0638,2834,LLY-US
LLY-US,2023-06-30,2023Q2,2023,20230808,1.9532,2834,LLY-US
LNG-US,2026-03-31,2026Q1,2026,20260507,-16.6461,4924,LNG-US
LNG-US,2025-12-31,2025Q4,2025,20260226,10.6887,4924,LNG-US
LNG-US,2025-09-30,2025Q3,2025,20251030,4.7522,4924,LNG-US
LNG-US,2025-06-30,2025Q2,2025,20250807,7.3144,4924,LNG-US
LNG-US,2025-03-31,2025Q1,2025,20250508,1.5752,4924,LNG-US
LNG-US,2024-12-31,2024Q4,2024,20250220,4.3345,4924,LNG-US
LNG-US,2024-09-30,2024Q3,2024,20241031,3.9339,4924,LNG-US
LNG-US,2024-06-28,2024Q2,2024,20240808,3.8445,4924,LNG-US
LNG-US,2024-03-29,2024Q1,2024,20240503,2.1362,4924,LNG-US
LNG-US,2023-12-29,2023Q4,2023,20240222,5.7615,4924,LNG-US
LNG-US,2023-09-29,2023Q3,2023,20231102,7.0289,4924,LNG-US
LNG-US,2023-06-30,2023Q2,2023,20230803,5.6153,4924,LNG-US
META-US,2026-03-31,2026Q1,2026,20260429,10.4419,7370,META-US
META-US,2025-12-31,2025Q4,2025,20260128,8.8764,7370,META-US
META-US,2025-09-30,2025Q3,2025,20251029,1.0533,7370,META-US
META-US,2025-06-30,2025Q2,2025,20250730,7.135,7370,META-US
META-US,2025-03-31,2025Q1,2025,20250430,6.4262,7370,META-US
META-US,2024-12-31,2024Q4,2024,20250129,8.0177,7370,META-US
META-US,2024-09-30,2024Q3,2024,20241030,6.0338,7370,META-US
META-US,2024-06-28,2024Q2,2024,20240731,5.159,7370,META-US
META-US,2024-03-29,2024Q1,2024,20240424,4.712,7370,META-US
META-US,2023-12-29,2023Q4,2023,20240201,5.3297,7370,META-US
META-US,2023-09-29,2023Q3,2023,20231025,4.3858,7370,META-US
META-US,2023-06-30,2023Q2,2023,20230726,2.9816,7370,META-US
MLM-US,2026-03-31,2026Q1,2026,20260430,25.0497,1400,MLM-US
MLM-US,2025-12-31,2025Q4,2025,20260211,4.6116,1400,MLM-US
MLM-US,2025-09-30,2025Q3,2025,20251104,6.8543,1400,MLM-US
MLM-US,2025-06-30,2025Q2,2025,20250807,5.4305,1400,MLM-US
MLM-US,2025-03-31,2025Q1,2025,20250430,1.9016,1400,MLM-US
MLM-US,2024-12-31,2024Q4,2024,20250212,4.7961,1400,MLM-US
MLM-US,2024-09-30,2024Q3,2024,20241030,5.9217,1400,MLM-US
MLM-US,2024-06-28,2024Q2,2024,20240808,4.7727,1400,MLM-US
MLM-US,2024-03-29,2024Q1,2024,20240430,16.8548,1400,MLM-US
MLM-US,2023-12-29,2023Q4,2023,20240214,4.6403,1400,MLM-US
MLM-US,2023-09-29,2023Q3,2023,20231101,6.721,1400,MLM-US
MLM-US,2023-06-30,2023Q2,2023,20230727,5.6087,1400,MLM-US
MSFT-US,2026-03-31,2026Q1,2026,20260429,4.2684,7372,MSFT-US
MSFT-US,2025-12-31,2025Q4,2025,20260128,5.1552,7372,MSFT-US
MSFT-US,2025-09-30,2025Q3,2025,20251029,3.7164,7372,MSFT-US
MSFT-US,2025-06-30,2025Q2,2025,20250730,3.65,7372,MSFT-US
MSFT-US,2025-03-31,2025Q1,2025,20250430,3.4612,7372,MSFT-US
MSFT-US,2024-12-31,2024Q4,2024,20250129,3.2282,7372,MSFT-US
MSFT-US,2024-09-30,2024Q3,2024,20241030,3.3021,7372,MSFT-US
MSFT-US,2024-06-28,2024Q2,2024,20240730,2.9491,7372,MSFT-US
MSFT-US,2024-03-29,2024Q1,2024,20240425,2.9362,7372,MSFT-US
MSFT-US,2023-12-29,2023Q4,2023,20240130,2.9285,7372,MSFT-US
MSFT-US,2023-09-29,2023Q3,2023,20231024,2.9873,7372,MSFT-US
MSFT-US,2023-06-30,2023Q2,2023,20230725,2.6893,7372,MSFT-US
MTZ-US,2026-03-31,2026Q1,2026,20260430,0.7722,1623,MTZ-US
MTZ-US,2025-12-31,2025Q4,2025,20260226,1.8128,1623,MTZ-US
MTZ-US,2025-09-30,2025Q3,2025,20251030,2.0428,1623,MTZ-US
MTZ-US,2025-06-30,2025Q2,2025,20250731,1.0923,1623,MTZ-US
MTZ-US,2025-03-31,2025Q1,2025,20250501,0.1253,1623,MTZ-US
MTZ-US,2024-12-31,2024Q4,2024,20250227,0.9454,1623,MTZ-US
MTZ-US,2024-09-30,2024Q3,2024,20241031,1.2069,1623,MTZ-US
MTZ-US,2024-06-28,2024Q2,2024,20240801,0.431,1623,MTZ-US
MTZ-US,2024-03-29,2024Q1,2024,20240502,-0.5283,1623,MTZ-US
MTZ-US,2023-12-29,2023Q4,2023,20240229,0.0096,1623,MTZ-US
MTZ-US,2023-09-29,2023Q3,2023,20231031,0.1822,1623,MTZ-US
MTZ-US,2023-06-30,2023Q2,2023,20230803,0.1983,1623,MTZ-US
MU-US,2026-02-27,2026Q1,2026,20260318,12.0709,3674,MU-US
MU-US,2025-11-28,2025Q4,2025,20251217,4.6046,3674,MU-US
MU-US,2025-08-29,2025Q3,2025,20250923,2.8302,3674,MU-US
MU-US,2025-05-30,2025Q2,2025,20250625,1.6756,3674,MU-US
MU-US,2025-02-28,2025Q1,2025,20250320,1.4096,3674,MU-US
MU-US,2024-11-29,2024Q4,2024,20241218,1.6667,3674,MU-US
MU-US,2024-08-30,2024Q3,2024,20240925,0.7884,3674,MU-US
MU-US,2024-05-31,2024Q2,2024,20240626,0.2956,3674,MU-US
MU-US,2024-02-29,2024Q1,2024,20240320,0.7118,3674,MU-US
MU-US,2023-11-30,2023Q4,2023,20231220,-1.1218,3674,MU-US
MU-US,2023-08-31,2023Q3,2023,20230928,-1.3059,3674,MU-US
MU-US,2023-05-31,2023Q2,2023,20230628,-1.7331,3674,MU-US
NVDA-US,2026-01-30,2026Q1,2026,20260225,1.7584,3674,NVDA-US
NVDA-US,2025-10-31,2025Q4,2025,20251119,1.3034,3674,NVDA-US
NVDA-US,2025-07-31,2025Q3,2025,20250827,1.077,3674,NVDA-US
NVDA-US,2025-04-30,2025Q2,2025,20250528,0.7629,3674,NVDA-US
NVDA-US,2025-01-31,2025Q1,2025,20250226,0.8942,3674,NVDA-US
NVDA-US,2024-10-31,2024Q4,2024,20241120,0.7794,3674,NVDA-US
NVDA-US,2024-07-31,2024Q3,2024,20240828,0.668,3674,NVDA-US
NVDA-US,2024-04-30,2024Q2,2024,20240522,0.5979,3674,NVDA-US
NVDA-US,2024-01-31,2024Q1,2024,20240221,0.4934,3674,NVDA-US
NVDA-US,2023-10-31,2023Q4,2023,20231121,0.3706,3674,NVDA-US
NVDA-US,2023-07-31,2023Q3,2023,20230823,0.2476,3674,NVDA-US
NVDA-US,2023-04-28,2023Q2,2023,20230524,0.082,3674,NVDA-US
QCOM-US,2026-03-31,2026Q1,2026,20260429,6.875,3663,QCOM-US
QCOM-US,2025-12-31,2025Q4,2025,20260204,2.7841,3663,QCOM-US
QCOM-US,2025-09-30,2025Q3,2025,20251105,-2.8915,3663,QCOM-US
QCOM-US,2025-06-30,2025Q2,2025,20250730,2.4258,3663,QCOM-US
QCOM-US,2025-03-31,2025Q1,2025,20250430,2.522,3663,QCOM-US
QCOM-US,2024-12-31,2024Q4,2024,20250205,2.8342,3663,QCOM-US
QCOM-US,2024-09-30,2024Q3,2024,20241106,2.5864,3663,QCOM-US
QCOM-US,2024-06-28,2024Q2,2024,20240731,1.8774,3663,QCOM-US
QCOM-US,2024-03-29,2024Q1,2024,20240501,2.0584,3663,QCOM-US
QCOM-US,2023-12-29,2023Q4,2023,20240131,2.4552,3663,QCOM-US
QCOM-US,2023-09-29,2023Q3,2023,20231101,1.3236,3663,QCOM-US
QCOM-US,2023-06-30,2023Q2,2023,20230802,1.6041,3663,QCOM-US
RRX-US,2026-03-31,2026Q1,2026,20260506,0.9626,3569,RRX-US
RRX-US,2025-12-31,2025Q4,2025,20260204,0.9534,3569,RRX-US
RRX-US,2025-09-30,2025Q3,2025,20251029,1.1952,3569,RRX-US
RRX-US,2025-06-30,2025Q2,2025,20250805,1.191,3569,RRX-US
RRX-US,2025-03-31,2025Q1,2025,20250505,0.8616,3569,RRX-US
RRX-US,2024-12-31,2024Q4,2024,20250205,0.6186,3569,RRX-US
RRX-US,2024-09-30,2024Q3,2024,20241104,1.09,3569,RRX-US
RRX-US,2024-06-28,2024Q2,2024,20240731,0.9398,3569,RRX-US
RRX-US,2024-03-29,2024Q1,2024,20240506,0.2982,3569,RRX-US
RRX-US,2023-12-29,2023Q4,2023,20240207,0.8381,3569,RRX-US
RRX-US,2023-09-29,2023Q3,2023,20231101,-2.1041,3569,RRX-US
RRX-US,2023-06-30,2023Q2,2023,20230731,0.4842,3569,RRX-US
SNDK-US,2026-03-31,2026Q1,2026,20260430,23.0255,3572,SNDK-US
SNDK-US,2025-12-31,2025Q4,2025,20260129,5.1474,3572,SNDK-US
SNDK-US,2025-09-30,2025Q3,2025,20251106,0.7517,3572,SNDK-US
SNDK-US,2025-06-30,2025Q2,2025,20250814,-0.1575,3572,SNDK-US
SNDK-US,2025-03-31,2025Q1,2025,20250507,-13.331,3572,SNDK-US
SNDK-US,2024-12-31,2024Q4,2024,20250307,0.7172,3572,SNDK-US
SNDK-US,2024-09-30,2024Q3,2024,20251106,1.4552,3572,SNDK-US
SNDK-US,2024-06-28,2024Q2,2024,20250821,0.8276,3572,SNDK-US
SNDK-US,2024-03-29,2024Q1,2024,20250507,0.1862,3572,SNDK-US
SNDK-US,2023-12-29,2023Q4,2023,20250307,-2.0759,3572,SNDK-US
STT-US,2026-03-31,2026Q1,2026,20260417,2.4923,6022,STT-US
STT-US,2025-12-31,2025Q4,2025,20260116,2.4157,6022,STT-US
STT-US,2025-09-30,2025Q3,2025,20251017,2.7832,6022,STT-US
STT-US,2025-06-30,2025Q2,2025,20250715,2.1688,6022,STT-US
STT-US,2025-03-31,2025Q1,2025,20250417,2.0395,6022,STT-US
STT-US,2024-12-31,2024Q4,2024,20250117,2.456,6022,STT-US
STT-US,2024-09-30,2024Q3,2024,20241015,2.2594,6022,STT-US
STT-US,2024-06-28,2024Q2,2024,20240716,2.1492,6022,STT-US
STT-US,2024-03-29,2024Q1,2024,20240412,1.3663,6022,STT-US
STT-US,2023-12-29,2023Q4,2023,20240119,0.5541,6022,STT-US
STT-US,2023-09-29,2023Q3,2023,20231018,1.2542,6022,STT-US
STT-US,2023-06-30,2023Q2,2023,20230714,2.1766,6022,STT-US
TFC-US,2026-03-31,2026Q1,2026,20260417,1.0872,6021,TFC-US
TFC-US,2025-12-31,2025Q4,2025,20260121,1.003,6021,TFC-US
TFC-US,2025-09-30,2025Q3,2025,20251017,1.0396,6021,TFC-US
TFC-US,2025-06-30,2025Q2,2025,20250718,0.9042,6021,TFC-US
TFC-US,2025-03-31,2025Q1,2025,20250417,0.8736,6021,TFC-US
TFC-US,2024-12-31,2024Q4,2024,20250117,0.9118,6021,TFC-US
TFC-US,2024-09-30,2024Q3,2024,20241017,0.9903,6021,TFC-US
TFC-US,2024-06-28,2024Q2,2024,20240722,0.6173,6021,TFC-US
TFC-US,2024-03-29,2024Q1,2024,20240422,0.81,6021,TFC-US
TFC-US,2023-12-29,2023Q4,2023,20240118,-3.8742,6021,TFC-US
TFC-US,2023-09-29,2023Q3,2023,20231019,0.7989,6021,TFC-US
TFC-US,2023-06-30,2023Q2,2023,20230720,0.9228,6021,TFC-US
TSLA-US,2026-03-31,2026Q1,2026,20260422,0.1348,3711,TSLA-US
TSLA-US,2025-12-31,2025Q4,2025,20260128,0.2374,3711,TSLA-US
TSLA-US,2025-09-30,2025Q3,2025,20251022,0.3894,3711,TSLA-US
TSLA-US,2025-06-30,2025Q2,2025,20250723,0.333,3711,TSLA-US
TSLA-US,2025-03-31,2025Q1,2025,20250422,0.1162,3711,TSLA-US
TSLA-US,2024-12-31,2024Q4,2024,20250129,0.658,3711,TSLA-US
TSLA-US,2024-09-30,2024Q3,2024,20251022,0.6214,3711,TSLA-US
TSLA-US,2024-06-28,2024Q2,2024,20250723,0.4022,3711,TSLA-US
TSLA-US,2024-03-29,2024Q1,2024,20250422,0.411,3711,TSLA-US
TSLA-US,2023-12-29,2023Q4,2023,20240124,2.27,3711,TSLA-US
TSLA-US,2023-09-29,2023Q3,2023,20231018,0.5299,3711,TSLA-US
TSLA-US,2023-06-30,2023Q2,2023,20230719,0.7772,3711,TSLA-US
TSM-US,2026-03-31,2026Q1,2026,20260416,3.4894,3674,TSM-US
TSM-US,2025-12-31,2025Q4,2025,20260115,3.1416,3674,TSM-US
TSM-US,2025-09-30,2025Q3,2025,20251016,2.915,3674,TSM-US
TSM-US,2025-06-30,2025Q2,2025,20250717,2.4865,3674,TSM-US
TSM-US,2025-03-31,2025Q1,2025,20250417,2.12,3674,TSM-US
TSM-US,2024-12-31,2024Q4,2024,20250116,2.2344,3674,TSM-US
TSM-US,2024-09-30,2024Q3,2024,20241017,1.9407,3674,TSM-US
TSM-US,2024-06-28,2024Q2,2024,20240718,1.4777,3674,TSM-US
TSM-US,2024-03-29,2024Q1,2024,20240410,1.3831,3674,TSM-US
TSM-US,2023-12-29,2023Q4,2023,20240110,1.4445,3674,TSM-US
TSM-US,2023-09-29,2023Q3,2023,20231006,1.2843,3674,TSM-US
TSM-US,2023-06-30,2023Q2,2023,20230720,1.1416,3674,TSM-US
TXN-US,2026-03-31,2026Q1,2026,20260422,1.6805,3674,TXN-US
TXN-US,2025-12-31,2025Q4,2025,20260127,1.2689,3674,TXN-US
TXN-US,2025-09-30,2025Q3,2025,20251021,1.4836,3674,TXN-US
TXN-US,2025-06-30,2025Q2,2025,20250722,1.4123,3674,TXN-US
TXN-US,2025-03-31,2025Q1,2025,20250423,1.2806,3674,TXN-US
TXN-US,2024-12-31,2024Q4,2024,20250123,1.3047,3674,TXN-US
TXN-US,2024-09-30,2024Q3,2024,20241022,1.4728,3674,TXN-US
TXN-US,2024-06-28,2024Q2,2024,20240723,1.2198,3674,TXN-US
TXN-US,2024-03-29,2024Q1,2024,20240423,1.1996,3674,TXN-US
TXN-US,2023-12-29,2023Q4,2023,20240123,1.4907,3674,TXN-US
TXN-US,2023-09-29,2023Q3,2023,20231024,1.8548,3674,TXN-US
TXN-US,2023-06-30,2023Q2,2023,20230725,1.8712,3674,TXN-US
UPS-US,2026-03-31,2026Q1,2026,20260428,1.0165,4210,UPS-US
UPS-US,2025-12-31,2025Q4,2025,20260127,2.0996,4210,UPS-US
UPS-US,2025-09-30,2025Q3,2025,20251028,1.546,4210,UPS-US
UPS-US,2025-06-30,2025Q2,2025,20250729,1.5148,4210,UPS-US
UPS-US,2025-03-31,2025Q1,2025,20250429,1.3965,4210,UPS-US
UPS-US,2024-12-31,2024Q4,2024,20250130,2.0152,4210,UPS-US
UPS-US,2024-09-30,2024Q3,2024,20241024,1.8,4210,UPS-US
UPS-US,2024-06-28,2024Q2,2024,20240723,1.6441,4210,UPS-US
UPS-US,2024-03-29,2024Q1,2024,20240423,1.2987,4210,UPS-US
UPS-US,2023-12-29,2023Q4,2023,20240130,1.8706,4210,UPS-US
UPS-US,2023-09-29,2023Q3,2023,20231026,1.3135,4210,UPS-US
UPS-US,2023-06-30,2023Q2,2023,20230808,2.417,4210,UPS-US
VRTX-US,2026-03-31,2026Q1,2026,20260504,4.0242,2834,VRTX-US
VRTX-US,2025-12-31,2025Q4,2025,20260212,4.6509,2834,VRTX-US
VRTX-US,2025-09-30,2025Q3,2025,20251103,4.2038,2834,VRTX-US
VRTX-US,2025-06-30,2025Q2,2025,20250804,3.9896,2834,VRTX-US
VRTX-US,2025-03-31,2025Q1,2025,20250505,2.4906,2834,VRTX-US
VRTX-US,2024-12-31,2024Q4,2024,20250210,3.5048,2834,VRTX-US
VRTX-US,2024-09-30,2024Q3,2024,20241104,4.0054,2834,VRTX-US
VRTX-US,2024-06-28,2024Q2,2024,20240801,-13.9233,2834,VRTX-US
VRTX-US,2024-03-29,2024Q1,2024,20240506,4.2114,2834,VRTX-US
VRTX-US,2023-12-29,2023Q4,2023,20240205,3.7133,2834,VRTX-US
VRTX-US,2023-09-29,2023Q3,2023,20231106,3.9728,2834,VRTX-US
VRTX-US,2023-06-30,2023Q2,2023,20230801,3.5165,2834,VRTX-US
V-US,2026-03-31,2026Q1,2026,20260428,3.1169,7389,V-US
V-US,2025-12-31,2025Q4,2025,20260129,3.0021,7389,V-US
V-US,2025-09-30,2025Q3,2025,20251028,2.5918,7389,V-US
V-US,2025-06-30,2025Q2,2025,20250729,2.6641,7389,V-US
V-US,2025-03-31,2025Q1,2025,20250429,2.2948,7389,V-US
V-US,2024-12-31,2024Q4,2024,20250130,2.5511,7389,V-US
V-US,2024-09-30,2024Q3,2024,20241029,2.6201,7389,V-US
V-US,2024-06-28,2024Q2,2024,20240723,2.3657,7389,V-US
V-US,2024-03-29,2024Q1,2024,20240423,2.2526,7389,V-US
V-US,2023-12-29,2023Q4,2023,20240125,2.355,7389,V-US
V-US,2023-09-29,2023Q3,2023,20231024,2.232,7389,V-US
V-US,2023-06-30,2023Q2,2023,20230725,1.9664,7389,V-US
WFC-US,2026-03-31,2026Q1,2026,20260414,1.6038,6021,WFC-US
WFC-US,2025-12-31,2025Q4,2025,20260114,1.6189,6021,WFC-US
WFC-US,2025-09-30,2025Q3,2025,20251014,1.6569,6021,WFC-US
WFC-US,2025-06-30,2025Q2,2025,20250715,1.596,6021,WFC-US
WFC-US,2025-03-31,2025Q1,2025,20250411,1.3897,6021,WFC-US
WFC-US,2024-12-31,2024Q4,2024,20250115,1.4286,6021,WFC-US
WFC-US,2024-09-30,2024Q3,2024,20241011,1.4166,6021,WFC-US
WFC-US,2024-06-28,2024Q2,2024,20240712,1.331,6021,WFC-US
WFC-US,2024-03-29,2024Q1,2024,20240412,1.198,6021,WFC-US
WFC-US,2023-12-29,2023Q4,2023,20240112,0.8641,6021,WFC-US
WFC-US,2023-09-29,2023Q3,2023,20231013,1.4807,6021,WFC-US
WFC-US,2023-06-30,2023Q2,2023,20230714,1.2508,6021,WFC-US
WMB-US,2026-03-31,2026Q1,2026,20260504,0.7047,4922,WMB-US
WMB-US,2025-12-31,2025Q4,2025,20260210,0.5979,4922,WMB-US
WMB-US,2025-09-30,2025Q3,2025,20251103,0.5274,4922,WMB-US
WMB-US,2025-06-30,2025Q2,2025,20250804,0.446,4922,WMB-US
WMB-US,2025-03-31,2025Q1,2025,20250505,0.5634,4922,WMB-US
WMB-US,2024-12-31,2024Q4,2024,20250212,0.3961,4922,WMB-US
WMB-US,2024-09-30,2024Q3,2024,20241106,0.5765,4922,WMB-US
WMB-US,2024-06-28,2024Q2,2024,20240805,0.3281,4922,WMB-US
WMB-US,2024-03-29,2024Q1,2024,20240506,0.5163,4922,WMB-US
WMB-US,2023-12-29,2023Q4,2023,20240214,0.9298,4922,WMB-US
WMB-US,2023-09-29,2023Q3,2023,20231101,0.5352,4922,WMB-US
WMB-US,2023-06-30,2023Q2,2023,20230802,0.3771,4922,WMB-US
