date,long_industries,short_industries,long_return,short_return,ls_return,n_long,n_short,rf,excess_return
201906,"Guns,Toys,Txtls,Gold,Meals","Oil,Paper,Coal,FabPr,Smoke",10.43,4.746,5.683999999999999,5,5,0.18,5.504
201907,"Cnstr,Toys,Chips,Hshld,Guns","Oil,Txtls,FabPr,Fun,Coal",4.84,-6.295999999999999,11.136,5,5,0.19,10.946
201908,"Cnstr,Toys,Chips,Hshld,Guns","Oil,Txtls,FabPr,Fun,Coal",2.08,-9.565999999999999,11.645999999999999,5,5,0.16,11.485999999999999
201909,"Cnstr,Toys,Chips,Hshld,Guns","Oil,Txtls,FabPr,Fun,Coal",1.544,-0.06600000000000002,1.61,5,5,0.18,1.4300000000000002
201910,"Chips,Autos,Gold,Smoke,Fun","Hshld,Util,Beer,Aero,Coal",6.892,-3.604,10.496,5,5,0.15,10.346
201911,"Chips,Autos,Gold,Smoke,Fun","Hshld,Util,Beer,Aero,Coal",3.658,-1.5439999999999998,5.202,5,5,0.12,5.082
201912,"Chips,Autos,Gold,Smoke,Fun","Hshld,Util,Beer,Aero,Coal",7.566,0.686,6.88,5,5,0.14,6.74
202001,"Gold,Drugs,Rtail,Guns,BusSv","Steel,Txtls,FabPr,Oil,Coal",3.04,-12.457999999999998,15.497999999999998,5,5,0.13,15.367999999999997
202002,"Gold,Drugs,Rtail,Guns,BusSv","Steel,Txtls,FabPr,Oil,Coal",-6.264000000000001,-10.656,4.3919999999999995,5,5,0.12,4.271999999999999
202003,"Gold,Drugs,Rtail,Guns,BusSv","Steel,Txtls,FabPr,Oil,Coal",-5.359999999999999,-33.49,28.130000000000003,5,5,0.12,28.01
202004,"Autos,Cnstr,Gold,Oil,Rubbr","Boxes,Soda,Util,Other,Smoke",26.776,4.39,22.386,5,5,0.0,22.386
202005,"Autos,Cnstr,Gold,Oil,Rubbr","Boxes,Soda,Util,Other,Smoke",6.948,2.2319999999999993,4.716000000000001,5,5,0.01,4.706000000000001
202006,"Autos,Cnstr,Gold,Oil,Rubbr","Boxes,Soda,Util,Other,Smoke",5.3919999999999995,-2.3579999999999997,7.749999999999999,5,5,0.01,7.739999999999999
202007,"Autos,Toys,Cnstr,FabPr,ElcEq","Ships,Txtls,Aero,Comps,Oil",15.910000000000002,-4.946,20.856,5,5,0.01,20.846
202008,"Autos,Toys,Cnstr,FabPr,ElcEq","Ships,Txtls,Aero,Comps,Oil",14.797999999999998,3.2619999999999996,11.535999999999998,5,5,0.01,11.525999999999998
202009,"Autos,Toys,Cnstr,FabPr,ElcEq","Ships,Txtls,Aero,Comps,Oil",1.33,-5.686,7.016,5,5,0.01,7.006
202010,"FabPr,Autos,Toys,Txtls,Mines","Food,Cnstr,Rtail,Guns,Gold",6.874,-4.2780000000000005,11.152000000000001,5,5,0.01,11.142000000000001
202011,"FabPr,Autos,Toys,Txtls,Mines","Food,Cnstr,Rtail,Guns,Gold",23.018,5.299999999999999,17.718000000000004,5,5,0.01,17.708000000000002
202012,"FabPr,Autos,Toys,Txtls,Mines","Food,Cnstr,Rtail,Guns,Gold",13.852,1.6780000000000002,12.174,5,5,0.01,12.164
202101,"Steel,Oil,Txtls,Cnstr,Books","Clths,Beer,Chips,Soda,Toys",2.348,-2.9760000000000004,5.324,5,5,0.0,5.324
202102,"Steel,Oil,Txtls,Cnstr,Books","Clths,Beer,Chips,Soda,Toys",15.829999999999998,-0.7340000000000002,16.564,5,5,0.0,16.564
202103,"Steel,Oil,Txtls,Cnstr,Books","Clths,Beer,Chips,Soda,Toys",10.27,1.7939999999999998,8.475999999999999,5,5,0.0,8.475999999999999
202104,"Coal,Toys,Rubbr,Fin,Clths","PerSv,Ships,Fun,Trans,Agric",4.398000000000001,2.2560000000000002,2.1420000000000003,5,5,0.0,2.1420000000000003
202105,"Coal,Toys,Rubbr,Fin,Clths","PerSv,Ships,Fun,Trans,Agric",9.943999999999999,-0.8940000000000001,10.838,5,5,0.0,10.838
202106,"Coal,Toys,Rubbr,Fin,Clths","PerSv,Ships,Fun,Trans,Agric",6.224000000000001,-1.02,7.2440000000000015,5,5,0.0,7.2440000000000015
202107,"Coal,FabPr,RlEst,Autos,Fun","Trans,Txtls,Mines,Gold,Toys",3.5799999999999996,-1.7299999999999998,5.31,5,5,0.0,5.31
202108,"Coal,FabPr,RlEst,Autos,Fun","Trans,Txtls,Mines,Gold,Toys",10.929999999999998,-3.944,14.873999999999999,5,5,0.0,14.873999999999999
202109,"Coal,FabPr,RlEst,Autos,Fun","Trans,Txtls,Mines,Gold,Toys",3.650000000000001,-7.403999999999999,11.054,5,5,0.0,11.054
202110,"Autos,Chips,Mines,Cnstr,BldMt","Hlth,Fun,Telcm,FabPr,Toys",13.588,0.5840000000000002,13.004,5,5,0.0,13.004
202111,"Autos,Chips,Mines,Cnstr,BldMt","Hlth,Fun,Telcm,FabPr,Toys",4.672,-9.398,14.07,5,5,0.0,14.07
202112,"Autos,Chips,Mines,Cnstr,BldMt","Hlth,Fun,Telcm,FabPr,Toys",4.69,1.0800000000000003,3.6100000000000003,5,5,0.01,3.6000000000000005
202201,"Coal,Oil,Steel,Gold,Agric","BldMt,Cnstr,Fun,Toys,Txtls",1.4099999999999997,-15.088,16.497999999999998,5,5,0.0,16.497999999999998
202202,"Coal,Oil,Steel,Gold,Agric","BldMt,Cnstr,Fun,Toys,Txtls",16.776,-2.932,19.708,5,5,0.0,19.708
202203,"Coal,Oil,Steel,Gold,Agric","BldMt,Cnstr,Fun,Toys,Txtls",16.451999999999998,-6.766,23.217999999999996,5,5,0.0,23.217999999999996
202204,"Soda,Beer,Coal,Drugs,Smoke","Books,Steel,Mines,Autos,Fun",3.432,-15.486,18.918,5,5,0.0,18.918
202205,"Soda,Beer,Coal,Drugs,Smoke","Books,Steel,Mines,Autos,Fun",0.9879999999999999,-6.178,7.1659999999999995,5,5,0.03,7.135999999999999
202206,"Soda,Beer,Coal,Drugs,Smoke","Books,Steel,Mines,Autos,Fun",-4.21,-15.175999999999998,10.965999999999998,5,5,0.06,10.905999999999997
202207,"Autos,Fun,Coal,FabPr,ElcEq","Boxes,Telcm,Toys,Txtls,Gold",17.107999999999997,-0.8640000000000001,17.971999999999998,5,5,0.08,17.892
202208,"Autos,Fun,Coal,FabPr,ElcEq","Boxes,Telcm,Toys,Txtls,Gold",0.158,-7.767999999999999,7.925999999999999,5,5,0.19,7.735999999999999
202209,"Autos,Fun,Coal,FabPr,ElcEq","Boxes,Telcm,Toys,Txtls,Gold",-7.248,-11.18,3.9319999999999995,5,5,0.19,3.7419999999999995
202210,"Clths,Steel,Aero,Guns,Mines","Toys,Rubbr,Rtail,FabPr,Autos",16.202,2.8840000000000003,13.318000000000001,5,5,0.23,13.088000000000001
202211,"Clths,Steel,Aero,Guns,Mines","Toys,Rubbr,Rtail,FabPr,Autos",12.388000000000002,-5.294,17.682000000000002,5,5,0.29,17.392000000000003
202212,"Clths,Steel,Aero,Guns,Mines","Toys,Rubbr,Rtail,FabPr,Autos",-2.338,-13.363999999999999,11.026,5,5,0.33,10.696
202301,"Autos,Chips,Fun,BusSv,Cnstr","Paper,Oil,Banks,Drugs,Insur",17.169999999999998,1.988,15.181999999999999,5,5,0.35,14.831999999999999
202302,"Autos,Chips,Fun,BusSv,Cnstr","Paper,Oil,Banks,Drugs,Insur",1.5779999999999998,-4.5040000000000004,6.082000000000001,5,5,0.34,5.742000000000001
202303,"Autos,Chips,Fun,BusSv,Cnstr","Paper,Oil,Banks,Drugs,Insur",5.622,-2.81,8.432,5,5,0.36,8.072000000000001
202304,"Autos,FabPr,Cnstr,BldMt,Chips","Guns,Telcm,Agric,Clths,Gold",-1.3719999999999999,-0.566,-0.8059999999999999,5,5,0.35,-1.156
202305,"Autos,FabPr,Cnstr,BldMt,Chips","Guns,Telcm,Agric,Clths,Gold",2.0140000000000002,-10.251999999999999,12.265999999999998,5,5,0.36,11.905999999999999
202306,"Autos,FabPr,Cnstr,BldMt,Chips","Guns,Telcm,Agric,Clths,Gold",21.098,5.134,15.963999999999999,5,5,0.4,15.563999999999998
202307,"Coal,Oil,Insur,FabPr,Comps","ElcEq,Txtls,Gold,Fun,MedEq",6.49,1.722,4.768000000000001,5,5,0.45,4.3180000000000005
202308,"Coal,Oil,Insur,FabPr,Comps","ElcEq,Txtls,Gold,Fun,MedEq",2.068,-6.779999999999999,8.847999999999999,5,5,0.45,8.398
202309,"Coal,Oil,Insur,FabPr,Comps","ElcEq,Txtls,Gold,Fun,MedEq",4.167999999999999,-8.65,12.818,5,5,0.43,12.388
202310,"Cnstr,Aero,BldMt,Banks,Ships","Smoke,Beer,Agric,FabPr,Oil",-2.3880000000000003,-8.574000000000002,6.186000000000002,5,5,0.47,5.716000000000002
202311,"Cnstr,Aero,BldMt,Banks,Ships","Smoke,Beer,Agric,FabPr,Oil",13.256,2.912,10.344000000000001,5,5,0.44,9.904000000000002
202312,"Cnstr,Aero,BldMt,Banks,Ships","Smoke,Beer,Agric,FabPr,Oil",10.814,2.896,7.918,5,5,0.43,7.488
202401,"FabPr,Agric,Mines,Txtls,Cnstr","Toys,Coal,Clths,Gold,Autos",-4.483999999999999,-7.934,3.450000000000001,5,5,0.47,2.9800000000000013
202402,"FabPr,Agric,Mines,Txtls,Cnstr","Toys,Coal,Clths,Gold,Autos",11.774,0.16400000000000006,11.61,5,5,0.42,11.19
202403,"FabPr,Agric,Mines,Txtls,Cnstr","Toys,Coal,Clths,Gold,Autos",11.100000000000001,0.7319999999999999,10.368000000000002,5,5,0.43,9.938000000000002
202404,"Chips,Gold,Smoke,Books,Paper","Rubbr,Txtls,Steel,BldMt,Clths",1.6039999999999999,-8.564,10.168,5,5,0.47,9.697999999999999
202405,"Chips,Gold,Smoke,Books,Paper","Rubbr,Txtls,Steel,BldMt,Clths",9.146,3.758,5.388000000000001,5,5,0.44,4.948
202406,"Chips,Gold,Smoke,Books,Paper","Rubbr,Txtls,Steel,BldMt,Clths",1.9060000000000001,-6.784000000000001,8.690000000000001,5,5,0.41,8.280000000000001
202407,"Txtls,Gold,RlEst,Guns,Cnstr","Rubbr,Steel,Coal,Oil,FabPr",19.549999999999997,4.537999999999999,15.011999999999997,5,5,0.45,14.561999999999998
202408,"Txtls,Gold,RlEst,Guns,Cnstr","Rubbr,Steel,Coal,Oil,FabPr",2.9319999999999995,-6.42,9.352,5,5,0.48,8.872
202409,"Txtls,Gold,RlEst,Guns,Cnstr","Rubbr,Steel,Coal,Oil,FabPr",4.046,0.632,3.414,5,5,0.4,3.0140000000000002
202410,"Autos,FabPr,Fun,Fin,Banks","Chems,Mines,Hlth,Txtls,Gold",1.8719999999999999,-8.578,10.45,5,5,0.39,10.059999999999999
202411,"Autos,FabPr,Fun,Fin,Banks","Chems,Mines,Hlth,Txtls,Gold",22.528,1.4480000000000002,21.08,5,5,0.4,20.68
202412,"Autos,FabPr,Fun,Fin,Banks","Chems,Mines,Hlth,Txtls,Gold",-1.19,-11.386,10.196,5,5,0.37,9.826
202501,"Smoke,Gold,Soda,Hlth,Other","Chips,FabPr,Clths,Coal,Autos",7.965999999999999,-0.826,8.792,5,5,0.37,8.422
202502,"Smoke,Gold,Soda,Hlth,Other","Chips,FabPr,Clths,Coal,Autos",6.056,-10.376000000000001,16.432000000000002,5,5,0.33,16.102000000000004
202503,"Smoke,Gold,Soda,Hlth,Other","Chips,FabPr,Clths,Coal,Autos",4.946,-11.575999999999999,16.522,5,5,0.34,16.182
202504,"Fun,ElcEq,Guns,Chips,Autos","Drugs,Paper,Oil,Beer,Insur",5.508000000000001,-7.4399999999999995,12.948,5,5,0.35,12.598
202505,"Fun,ElcEq,Guns,Chips,Autos","Drugs,Paper,Oil,Beer,Insur",12.244,-1.4520000000000002,13.696,5,5,0.38,13.315999999999999
202506,"Fun,ElcEq,Guns,Chips,Autos","Drugs,Paper,Oil,Beer,Insur",5.592,0.1780000000000001,5.414,5,5,0.34,5.074
202507,"Gold,Coal,Autos,ElcEq,FabPr","Smoke,Fun,Meals,MedEq,Agric",9.784,-4.83,14.614,5,5,0.34,14.274000000000001
202508,"Gold,Coal,Autos,ElcEq,FabPr","Smoke,Fun,Meals,MedEq,Agric",9.412,3.0020000000000007,6.41,5,5,0.38,6.03
202509,"Gold,Coal,Autos,ElcEq,FabPr","Smoke,Fun,Meals,MedEq,Agric",14.184000000000001,-4.332000000000001,18.516000000000002,5,5,0.33,18.186000000000003
202510,"Steel,Gold,Drugs,LabEq,Coal","Food,Paper,Txtls,PerSv,Fun",5.082,-7.698,12.780000000000001,5,5,0.37,12.410000000000002
202511,"Steel,Gold,Drugs,LabEq,Coal","Food,Paper,Txtls,PerSv,Fun",6.246,-0.736,6.982,5,5,0.3,6.682
202512,"Steel,Gold,Drugs,LabEq,Coal","Food,Paper,Txtls,PerSv,Fun",5.486,-2.914,8.4,5,5,0.34,8.06
202601,"Oil,Agric,Mach,Ships,Chems","Insur,RlEst,MedEq,Autos,BusSv",12.354000000000001,-1.8780000000000001,14.232000000000001,5,5,0.3,13.932
202602,"Oil,Agric,Mach,Ships,Chems","Insur,RlEst,MedEq,Autos,BusSv",9.266,-4.922,14.187999999999999,5,5,0.28,13.908
202603,"Oil,Agric,Mach,Ships,Chems","Insur,RlEst,MedEq,Autos,BusSv",-0.2540000000000001,-7.846000000000001,7.5920000000000005,5,5,0.29,7.3020000000000005
202604,"Oil,Agric,Mach,Ships,Chems","Insur,RlEst,MedEq,Autos,BusSv",2.994,6.1579999999999995,-3.1639999999999993,5,5,0.29,-3.4539999999999993
202605,"Oil,Agric,Mach,Ships,Chems","Insur,RlEst,MedEq,Autos,BusSv",-2.828,1.6059999999999994,-4.433999999999999,5,5,0.31,-4.743999999999999
202606,"Oil,Agric,Mach,Ships,Chems","Insur,RlEst,MedEq,Autos,BusSv",6.196,1.3860000000000003,4.81,5,5,,
